"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
10001,"01A","Afognak Lake Airport","Afognak Lake, AK","United States",58.10944444,-152.90666667,1,
10003,"03A","Bear Creek Mining Strip","Granite Mountain, AK","United States",65.54805556,-161.07166667,1,
10004,"04A","Lik Mining Camp","Lik, AK","United States",68.08333333,-163.16666667,1,
10005,"05A","Little Squaw Airport","Little Squaw, AK","United States",67.57000000,-148.18388889,1,
10006,"06A","Kizhuyak Bay","Kizhuyak, AK","United States",57.74527778,-152.88277778,1,
10007,"07A","Klawock Seaplane Base","Klawock, AK","United States",55.55472222,-133.10166667,1,
10008,"08A","Elizabeth Island Airport","Elizabeth Island, AK","United States",59.15694444,-151.82916667,1,
10009,"09A","Augustin Island","Homer, AK","United States",59.36277778,-153.43055556,1,
10010,"1B1","Columbia County","Hudson, NY","United States",42.28888889,-73.71027778,0,
10010,"1B1","Columbia County","Hudson, NY","United States",42.29138889,-73.71027778,1,
10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States",35.99027778,-113.81638889,0,
10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States",35.98611111,-113.81694444,1,
10012,"1N7","Blairstown Airport","Blairstown, NJ","United States",40.97111111,-74.99750000,1,
10013,"8F3","Crosbyton Municipal","Crosbyton, TX","United States",33.62388889,-101.24083333,1,
10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","United States",64.36416667,-147.36138889,0,
10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","United States",64.36361111,-147.36388889,1,
10015,"A02","Deadmans Bay Airport","Deadmans Bay, AK","United States",57.06666667,-153.93777778,1,
10016,"A03","Hallo Bay Airport","Hallo Bay, AK","United States",58.45750000,-154.02333333,1,
10017,"A04","Red Lake Airport","Red Lake, AK","United States",57.27722222,-154.34222222,1,
10018,"A05","Shell Lake Airport","Shell Lake, AK","United States",61.96388889,-151.55583333,1,
10019,"A06","Navigator Airstrip","Kougarok, AK","United States",65.65555556,-165.35638889,1,
10020,"A07","Roland Norton Memorial Airstrip","Selawik, AK","United States",66.76583333,-160.15250000,0,
10020,"A07","Roland Norton Memorial","Selawik, AK","United States",66.76611111,-160.15277778,1,
10021,"A08","Pillar Bay Airport","Pillar Bay, AK","United States",56.59805556,-134.24277778,1,
10022,"JOH","Johnstone Point Airport","Johnstone Point, AK","United States",60.48138889,-146.58222222,0,
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States",60.48222222,-146.58222222,0,
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States",60.48166667,-146.58416667,1,
10023,"TLK","Tikchik Lodge Airport","Tikchik Lodge, AK","United States",59.95555556,-158.48055556,0,
10023,"KTH","Tikchik Lodge Airport","Tikchik Lodge, AK","United States",59.95555556,-158.48055556,1,
10024,"A11","Bell Creek Airport","Bell Creek, AK","United States",60.78388889,-159.54027778,1,
10025,"A12","Cinnabar Airport","Cinnabar, AK","United States",60.78527778,-158.86444444,1,
10026,"A13","Mountaintop Mine Airport","Mountaintop Mine, AK","United States",61.39027778,-157.99555556,1,
10027,"A14","Whitebear Airport","Whitebear, AK","United States",61.18888889,-159.85833333,1,
10028,"A15","Puviaq Airport","Puviaq, AK","United States",70.71861111,-154.38833333,0,
10028,"A15","Puviaq Airport","Puviaq, AK","United States",70.71555556,-154.40694444,1,
10029,"A16","Arley Lake Airport","Arley Lake, AK","United States",70.74694444,-155.36083333,1,
10030,"A17","Port Vita Airport","Port Vita, AK","United States",58.06555556,-153.07250000,1,
10031,"A18","Kantishna Airport","Kantishna, AK","United States",63.54166667,-150.99388889,1,
10033,"A20","Alpine Airstrip","Alpine, AK","United States",70.34416667,-150.94472222,1,
10034,"A21","Serpentine Airport","Serpentine, AK","United States",65.85138889,-164.70277778,1,
10035,"A22","Driftwood Bay Airport","Driftwood Bay, AK","United States",53.97277778,-166.85694444,1,
10036,"A23","Bradley Lake Airport","Bradley Lake, AK","United States",59.77611111,-151.96361111,1,
10037,"A24","Chilkat Lake Airport","Chilkat Lake, AK","United States",59.33166667,-135.89666667,1,
10038,"A25","Nugget Creek Airport","Nugget Creek, AK","United States",59.28833333,-136.17388889,1,
10039,"A26","Ivotuk Airstrip","Ivotuk, AK","United States",68.48333333,-155.73333333,1,
10040,"A27","Pogo Mines Airport","Pogo Mines, AK","United States",64.44000000,-144.93638889,1,
10041,"A28","Ayakulik River Airport","Ayakulik River, AK","United States",57.25388889,-154.42222222,1,
10042,"A29","Kiluda Bay Airport","Kiluda Bay, AK","United States",57.32305556,-153.14944444,1,
10043,"A30","Terror Lake Airport","Terror Lake, AK","United States",57.96388889,-153.05833333,1,
10044,"A31","Selief Bay Airport","Selief Bay, AK","United States",58.98277778,-153.18333333,1,
10047,"A34","Laura Lake Airport","Laura Lake, AK","United States",58.36194444,-152.31222222,1,
10049,"A36","Deep Bay Airport","Deep Bay, AK","United States",55.56027778,-131.65555556,1,
10050,"A37","Kako Airport","Kako, AK","United States",61.89888889,-161.43805556,0,
10050,"A37","Kako Airport","Kako, AK","United States",61.89888889,-161.43972222,1,
10051,"A38","Molly Creek Airport","Molly Creek, AK","United States",64.09722222,-143.26666667,1,
10052,"A39","Ptarmigan Lake Airport","Ptarmigan Lake, AK","United States",61.86611111,-141.15972222,1,
10053,"A40","Cape Simpson Airport","Cape Simpson, AK","United States",71.05694444,-154.72833333,1,
10054,"A41","Kogru River Airport","Kogru River, AK","United States",70.57611111,-152.27111111,0,
10054,"A41","Kogru River Airport","Kogru River, AK","United States",70.57472222,-152.25888889,1,
10055,"A42","Teshepkuk Lake Airport","Teshepkuk Lake, AK","United States",70.35833333,-153.19666667,1,
10056,"A43","Trident Basin Seaplane Base","Kodiak Island, AK","United States",57.78083333,-152.39111111,1,
10058,"A45","Lake Florence Airport","Lake Florence, AK","United States",57.81666667,-134.58333333,1,
10059,"A46","Lake Hasselborg Airport","Lake Hasselborg, AK","United States",57.70000000,-134.26666667,1,
10060,"A47","Distin Lake Airport","Distin Lake, AK","United States",57.61666667,-134.36666667,1,
10061,"A48","Port Hobron Airport","Port Hobron, AK","United States",57.15000000,-153.15000000,1,
10062,"A49","Mooseville Airstrip Airport","Mooseville Airstrip, AK","United States",70.28444444,-152.21194444,1,
10063,"A50","Big Bay Airport","Big Bay, AK","United States",58.56250000,-152.59611111,1,
