AirportID,Cancelled,Delayed,Count,Lat,Lon
10135,22,34,135,40.65222222,-75.44055556
10136,3,38,243,32.41138889,-99.68194444
10140,65,453,1910,35.03888889,-106.60833333
10141,2,8,62,45.44833333,-98.4225
10146,7,12,89,31.53555556,-84.19444444
10155,4,19,151,31.61222222,-97.23027778
10157,17,51,269,40.97777778,-124.10833333
10165,0,1,9,51.87805556,-176.64611111
10170,7,4,53,57.75,-152.49388889
10185,43,58,304,31.3275,-92.54861111
10208,15,54,247,33.37,-81.96444444
10257,53,198,593,42.74916667,-73.80194444
10268,18,17,58,42.55694444,-92.40027778
10279,34,146,641,35.21944444,-101.70583333
10299,19,170,1284,61.17416667,-149.99805556
10333,4,9,56,45.07805556,-83.56027778
10361,24,18,58,43.99194444,-76.02055556
10372,173,160,720,39.22194444,-106.86833333
10397,2418,7923,30796,33.63666667,-84.42777778
10408,40,63,182,44.25805556,-88.51916667
10423,134,763,3337,30.19444444,-97.67
10431,25,54,231,35.43611111,-82.54194444
10434,17,17,68,41.33833333,-75.72333333
10469,9,3,14,42.23444444,-85.55166667
10529,149,564,1800,41.93916667,-72.68333333
10551,3,12,83,60.77861111,-161.83722222
10561,7,53,299,35.43388889,-119.05777778
10581,18,9,60,44.8075,-68.82805556
10599,123,276,1094,33.56388889,-86.75222222
10620,9,40,276,45.80777778,-108.54277778
10627,14,45,180,46.77277778,-100.74583333
10631,6,14,62,47.51083333,-94.93472222
10643,11,25,97,36.53194444,-93.20055556
10666,0,8,76,48.79277778,-122.5375
10685,36,69,225,40.47722222,-88.91583333
10693,340,1398,4662,36.12444444,-86.67805556
10713,12,146,830,43.56444444,-116.22277778
10721,696,2124,8274,42.36305556,-71.00638889
10728,7,13,89,29.95083333,-94.02055556
10731,8,24,86,31.25916667,-81.46638889
10732,11,19,112,18.49472222,-67.12944444
10739,6,21,79,46.40416667,-94.13361111
10747,12,33,206,25.90694444,-97.42583333
10754,1,18,78,71.28472222,-156.76861111
10779,1,7,62,45.95472222,-112.4975
10781,93,121,712,30.53305556,-91.15
10785,50,93,293,44.47194444,-73.15333333
10792,188,407,1348,42.94055556,-78.73055556
10800,48,347,1730,34.20055556,-118.35861111
10821,409,2576,7177,39.17527778,-76.66833333
10849,9,61,274,45.7775,-111.15194444
10868,70,130,571,33.93888889,-81.11944444
10874,49,146,534,40.915,-81.44361111
10918,2,5,54,37.70083333,-113.09888889
10926,1,6,60,60.49166667,-145.4775
10930,5,16,85,41.78027778,-124.23666667
10980,19,62,276,35.03527778,-85.20361111
10990,13,20,102,38.13861111,-78.45277778
10994,130,216,945,32.89861111,-80.04055556
11002,2,28,92,39.79527778,-121.85833333
11003,41,154,436,41.88472222,-91.71083333
11041,7,41,207,33.12833333,-117.28
11042,483,925,3339,41.40944444,-81.85472222
11049,16,25,225,30.58861111,-96.36388889
11057,401,2112,9768,35.21361111,-80.94916667
11066,206,708,2158,39.99694444,-82.89222222
11067,37,69,182,40.03888889,-88.27777778
11076,18,20,62,47.16833333,-88.48916667
11097,7,13,62,44.52027778,-109.02388889
11109,54,162,755,38.80583333,-104.70083333
11111,4,33,89,38.81805556,-92.21972222
11122,7,31,178,42.90583333,-106.46361111
11140,33,103,518,27.77111111,-97.50111111
11146,51,61,255,38.37583333,-81.59305556
11150,19,19,110,32.51638889,-84.93888889
11193,128,456,1511,39.04888889,-84.66777778
11203,34,37,118,44.7775,-89.66666667
11252,8,30,119,29.18,-81.05805556
11259,122,1121,3863,32.84722222,-96.85166667
11267,93,235,769,39.90222222,-84.21944444
11274,8,11,44,42.40194444,-90.70944444
11278,408,1384,5735,38.85138889,-77.03777778
11292,716,6517,17977,39.86166667,-104.67305556
11298,735,5193,23488,32.89722222,-97.03777778
11308,12,26,116,31.32111111,-85.44944444
11315,10,47,117,46.79722222,-102.80194444
11337,21,35,124,46.84194444,-92.19361111
11413,10,29,222,37.16388889,-107.74222222
11423,114,263,883,41.53388889,-93.66305556
11433,608,2580,7542,42.2125,-83.35333333
11471,19,8,62,44.86583333,-91.48416667
11481,23,54,276,30.35833333,-85.79555556
11503,26,68,302,39.64277778,-106.91583333
11525,0,6,87,40.825,-115.79138889
11537,10,16,105,42.15972222,-76.89194444
11540,49,274,1443,31.80722222,-106.37638889
11603,24,83,439,44.12444444,-123.21194444
11612,41,71,238,38.04083333,-87.52861111
11617,7,11,63,35.07277778,-77.04305556
11618,1041,3125,9267,40.6925,-74.16861111
11624,25,86,424,24.55611111,-81.75944444
11630,4,29,326,64.815,-147.85638889
11637,65,145,431,46.92055556,-96.81583333
11638,9,173,932,36.77666667,-119.71888889
